customer_id,gender,is_urban,is_married,has_chidren,period,housing_service,get_multi_bonus,web_stability_problem,online_guide_service,is_member,sales_support,pay_after_try,installment_pay,member_type,is_vip,pay_method,avg_month_consumption,total_consumption,is_warning_loss,supplier
7590-VHVEG,Female,0,Yes,No,1,No,other,No,Yes,No,No,No,No,Month,Yes,PayPal,29.85,29.85,No,Starlink
5575-GNVDE,Male,0,No,No,34,Yes,No,Yes,No,Yes,No,No,No,One year,No,Venmo,56.95,1889.5,No,T-Mobile
3668-QPYBK,Male,0,No,No,2,Yes,No,Yes,Yes,No,No,No,No,Month,Yes,Venmo,53.85,108.15,Yes,HughesNet
7795-CFOCW,Male,0,No,No,45,No,other,Yes,No,Yes,Yes,No,No,One year,No,Visa,42.3,1840.75,No,T-Mobile
9237-HQITU,Female,0,No,No,2,Yes,No,No,No,No,No,No,No,Month,Yes,PayPal,70.7,151.65,Yes,AT&T
9305-CDSKC,Female,0,No,No,8,Yes,Yes,No,No,Yes,No,Yes,Yes,Month,Yes,PayPal,99.65,820.5,Yes,Verizon
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,No,Yes,No,No,Yes,No,Month,Yes,Mastercard,89.1,1949.4,No,Verizon
6713-OKOMC,Female,0,No,No,10,No,other,Yes,No,No,No,No,No,Month,No,Venmo,29.75,301.9,No,T-Mobile
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Month,Yes,PayPal,104.8,3046.05,Yes,Verizon
6388-TABGU,Male,0,No,Yes,62,Yes,No,Yes,Yes,No,No,No,No,One year,No,Visa,56.15,3487.95,No,T-Mobile
6388-TABGU,Male,0,No,Yes,62,Yes,No,Yes,Yes,No,No,No,No,One year,No,Visa,56.15,3487.95,No,T-Mobile
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,Yes,No,No,No,No,No,Month,Yes,Venmo,49.95,587.45,No,HughesNet
7469-LKBCI,Male,0,No,No,16,Yes,No,other,other,other,other,other,other,Two year,No,Mastercard,18.95,326.8,No,T-Mobile
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,No,No,Yes,No,Yes,Yes,One year,No,Mastercard,100.35,5681.1,No,HughesNet
0280-XJGEX,Male,0,No,No,49,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Month,Yes,Visa,103.7,5036.3,Yes,HughesNet
